The Republic Of Kazakhstan,"3 909,62"
Abay Region,7.107
Akmola Region,168.398
Aktobe Region,132.833
Almaty Region,483.233
Atyrau Region,98.227
West Kazakhstan Region,111.3
Zhambyl Region,203.725
Zhetysu Region,9.974
Karaganda Region,281.402
Kostanay Region,164.384
Kyzylorda Region,105.598
Mangystau Region,127.832
South Kazakhstan Region,155.115
Pavlodar Region,150.097
North Kazakhstan Region,123.52
Turkestan Region,174.984
Ulytau Region,3.495
East Kazakhstan Region,285.397
Astana city,287.538
Almaty city,484.041
Shymkent city,137.544
